Document	Matched Term	Code	Concept Name	Semantic Type	Annotations	Certainty	ContextualAspect	ContextualModality	Degree	Experiencer	Permanence	Polarity	Temporality
11175472.txt	major	RID5692	RID5692		major/1570								
11175472.txt	morbidity	RID11524	RID11524		morbidity/1586								
11175472.txt	acute	RID5718	RID5718		acute/1649								
11175472.txt	myocardial infarction	RID3236	RID3236		myocardial/1655, infarction/1666								
11175472.txt	death	RID34658	RID34658		death/1687								
11175472.txt	first	RID5996	RID5996		first/1700								
11175472.txt	coronary artery	RID35862	RID35862		coronary/1732, artery/1741								
11175472.txt	coronary artery	RID28727	RID28727		coronary/1732, artery/1741								
11175472.txt	Calcification coronary arteries coronary	RID50146	RID50146		Calcification/1759, coronary/1790, arteries/1799, coronary/1850								
11175472.txt	intima	RID6253	RID6253		intima/1780								
11175472.txt	atherosclerosis	RID39049	RID39049		atherosclerosis/1821								
11175472.txt	advanced	RID38799	RID38799		advanced/1841								
11175472.txt	extensive	RID5685	RID5685		extensive/1931								
11175472.txt	calcification coronary arteries	RID50146	RID50146		calcification/1941, coronary/1958, arteries/1967								
11175472.txt	stenoses	RID5016	RID5016		stenoses/2005								
11175472.txt	acute	RID5718	RID5718		acute/2043								
11175472.txt	myocardial infarction	RID3236	RID3236		myocardial/2049, infarction/2060								
11175472.txt	lipid	RID5889	RID5889		lipid/2142								
11175472.txt	atherosclerotic plaque	RID3290	RID3290		atherosclerotic/2163, plaque/2179								
11175472.txt	Segments arteries	RID13210	RID13210		Segments/2189, arteries/2201								
11175472.txt	Segments arteries	RID13210	RID13210		Segments/2189, arteries/2201								
11175472.txt	large	RID5778	RID5778		large/2215								
11175472.txt	calcifications	RID5196	RID5196		calcifications/2221								
11175472.txt	calcifications	RID34642	RID34642		calcifications/2221								
11175472.txt	atherosclerotic plaques	RID3290	RID3290		atherosclerotic/2260, plaques/2276								
11175472.txt	calcifications	RID5196	RID5196		calcifications/2315								
11175472.txt	calcifications	RID34642	RID34642		calcifications/2315								
11175472.txt	lower	RID46058	RID46058		lower/2363								
11175472.txt	patients	RID49815	RID49815		patients/2372								
11175472.txt	coronary artery calcifications	RID50146	RID50146		coronary/2397, artery/2406, calcifications/2425								
11175472.txt	10	RID6014	RID6014		10/2457								
11175472.txt	11	RID6016	RID6016		11/2460								
11175472.txt	patients	RID49815	RID49815		patients/2483								
11175472.txt	calcifications coronary arteries	RID50146	RID50146		calcifications/2497, coronary/2515, arteries/2524								
11175472.txt	high	RID46060	RID46060		high/2568								
11175472.txt	complications	RID11525	RID11525		complications/2586								
11175472.txt	complications	RID5757	RID5757		complications/2586								
11175472.txt	diagnosis	RID10394	RID10394		diagnosis/2607								
11175472.txt	changes	RID45838	RID45838		changes/2621								
11175472.txt	changes	RID49896	RID49896		changes/2621								
11175472.txt	several	RID5763	RID5763		several/2632								
11175472.txt	morbidity	RID11524	RID11524		morbidity/2702								
11175472.txt	both	RID5770	RID5770		both/2716								
11175472.txt	coronary artery	RID35862	RID35862		coronary/2725, artery/2734								
11175472.txt	coronary artery	RID28727	RID28727		coronary/2725, artery/2734								
11175472.txt	diagnosis	RID10394	RID10394		diagnosis/2769								
11175472.txt	coronary artery	RID35862	RID35862		coronary/2813, artery/2822								
11175472.txt	coronary artery	RID28727	RID28727		coronary/2813, artery/2822								
11175472.txt	low	RID46059	RID46059		low/2867								
11175472.txt	noninvasive	RID5681	RID5681		noninvasive/2886								
11175472.txt	asymptomatic	RID38811	RID38811		asymptomatic/2949								
11175472.txt	patients	RID49815	RID49815		patients/2962								
11175472.txt	patients	RID49815	RID49815		patients/2984								
11175472.txt	intervention	RID10381	RID10381		intervention/3000								
11175472.txt	changes	RID45838	RID45838		changes/3017								
11175472.txt	changes	RID49896	RID49896		changes/3017								
11175472.txt	patients	RID49815	RID49815		patients/3071								
11175472.txt	lesions	RID3874	RID3874		lesions/3091								
11175472.txt	lesions	RID34301	RID34301		lesions/3091								
11175472.txt	lesions	RID38780	RID38780		lesions/3091								
11175472.txt	lesions	RID39055	RID39055		lesions/3091								
11175472.txt	asymptomatic	RID38811	RID38811		asymptomatic/3114								
11175472.txt	phase	RID28698	RID28698		phase/3127								
11175472.txt	stenoses	RID5016	RID5016		stenoses/3134								
11175472.txt	calcium	RID11800	RID11800		calcium/3180								
11175472.txt	coronary arteries	RID35862	RID35862		coronary/3201, arteries/3210								
11175472.txt	coronary arteries	RID28727	RID28727		coronary/3201, arteries/3210								
11175472.txt	patients	RID49815	RID49815		patients/3289								
11175472.txt	new	RID5720	RID5720		new/3356								
11175472.txt	calcifications coronary arteries	RID50146	RID50146		calcifications/3408, coronary/3426, arteries/3435								
11175472.txt	Several	RID5763	RID5763		Several/3448								
11175472.txt	fluoroscopy	RID10361	RID10361		fluoroscopy/3484								
11175472.txt	intravascular	RID11159	RID11159		intravascular/3497								
11175472.txt	echography	RID10326	RID10326		echography/3511								
11175472.txt	conventional tomography	RID10358	RID10358		conventional/3523, tomography/3545								
11175472.txt	computed tomography	RID10321	RID10321		computed/3536, tomography/3545								
11175472.txt	computed tomography	RID10321	RID10321		computed/3600, tomography/3609								
11175472.txt	computed tomography	RID10321	RID10321		computed/3635, tomography/3644								
11175472.txt	calcification coronary arteries	RID50146	RID50146		calcification/3678, coronary/3695, arteries/3704								
11175472.txt	Fluoroscopy	RID10361	RID10361		Fluoroscopy/3722								
11175472.txt	identifying patients	RID13159	RID13159		identifying/3775, patients/3787								
11175472.txt	coronary artery	RID35862	RID35862		coronary/3801, artery/3810								
11175472.txt	coronary artery	RID28727	RID28727		coronary/3801, artery/3810								
11175472.txt	Intravascular	RID11159	RID11159		Intravascular/3833								
11175472.txt	echography	RID10326	RID10326		echography/3847								
11175472.txt	atherosclerosis	RID39049	RID39049		atherosclerosis/3895								
11175472.txt	invasive	RID5680	RID5680		invasive/3949								
11175472.txt	procedure	RID1559	RID1559		procedure/3958								
11175472.txt	fluoroscopy	RID10361	RID10361		fluoroscopy/3979								
11175472.txt	conventional tomography	RID10358	RID10358		conventional/3995, tomography/4017								
11175472.txt	computed tomography	RID10321	RID10321		computed/4008, tomography/4017								
11175472.txt	fluoroscopy	RID10361	RID10361		fluoroscopy/4073								
11175472.txt	calcifications coronary arteries	RID50146	RID50146		calcifications/4099, coronary/4117, arteries/4126								
11175472.txt	Calcium	RID11800	RID11800		Calcium/4136								
11175472.txt	Computed tomography	RID10321	RID10321		Computed/4215, tomography/4224								
11175472.txt	fluoroscopy	RID10361	RID10361		fluoroscopy/4265								
11175472.txt	calcification	RID5196	RID5196		calcification/4291								
11175472.txt	calcium	RID11800	RID11800		calcium/4328								
11175472.txt	deposits	RID5187	RID5187		deposits/4336								
11175472.txt	al	RID11786	RID11786		al/4372								
11175472.txt	computed tomography	RID10321	RID10321		computed/4408, tomography/4417								
11175472.txt	fluoroscopy	RID10361	RID10361		fluoroscopy/4448								
11175472.txt	moderate	RID5672	RID5672		moderate/4500								
11175472.txt	calcifications	RID5196	RID5196		calcifications/4509								
11175472.txt	calcifications	RID34642	RID34642		calcifications/4509								
11175472.txt	fluoroscopy	RID10361	RID10361		fluoroscopy/4549								
11175472.txt	computed tomography	RID10321	RID10321		computed/4706, tomography/4715								
11175472.txt	high resolution	RID35736	RID35736		high/4730, resolution/4735								
11175472.txt	contrast image image	RID39045	RID39045		contrast/4746, image/4764, image/4813								
11175472.txt	contrast image image	RID39045	RID39045		contrast/4746, image/4764, image/4813								
11175472.txt	rapid	RID34329	RID34329		rapid/4758								
11175472.txt	image acquisition	RID28917	RID28917		image/4764, acquisition/4770								
11175472.txt	blurring	RID11424	RID11424		blurring/4819								
11175472.txt	heart	RID1385	RID1385		heart/4835								
11175472.txt	calcium	RID11800	RID11800		calcium/4902								
11175472.txt	coronary arteries	RID35862	RID35862		coronary/4913, arteries/4922								
11175472.txt	coronary arteries	RID28727	RID28727		coronary/4913, arteries/4922								
11175472.txt	calcium	RID11800	RID11800		calcium/4949								
11175472.txt	coronary artery	RID35862	RID35862		coronary/5000, artery/5009								
11175472.txt	coronary artery	RID28727	RID28727		coronary/5000, artery/5009								
11175472.txt	computed tomography	RID10321	RID10321		computed/5058, tomography/5067								
11175472.txt	noninvasive	RID5681	RID5681		noninvasive/5083								
11175472.txt	computed tomography	RID10321	RID10321		computed/5198, tomography/5207								
11175472.txt	no	RID28475	RID28475		no/5271								
11175472.txt	present	RID28472	RID28472		present/5331								
11175472.txt	patients	RID49815	RID49815		patients/5370								
11175472.txt	males	RID5653	RID5653		males/5391								
11175472.txt	females	RID5654	RID5654		females/5411								
11175472.txt	ages	RID11854	RID11854		ages/5425								
11175472.txt	mean	RID39224	RID39224		mean/5460								
11175472.txt	angiography	RID10371	RID10371		angiography/5508								
11175472.txt	chest pain	RID45774	RID45774		chest/5531, pain/5537								
11175472.txt	suggestive	RID39481	RID39481		suggestive/5542								
11175472.txt	without	RID49854	RID49854		without/5599								
11175472.txt	previous	RID5726	RID5726		previous/5607								
11175472.txt	angiography	RID10371	RID10371		angiography/5657								
11175472.txt	patients	RID49815	RID49815		patients/5674								
11175472.txt	assessment	RID36026	RID36026		assessment/5705								
11175472.txt	mean	RID39224	RID39224		mean/5721								
11175472.txt	angiography	RID10371	RID10371		angiography/5757								
11175472.txt	computed tomography	RID10321	RID10321		computed/5781, tomography/5790								
11175472.txt	patient	RID49815	RID49815		patient/5855								
11175472.txt	computed tomography	RID10321	RID10321		computed/5881, tomography/5890								
11175472.txt	computed tomography	RID10321	RID10321		computed/6004, tomography/6013								
11175472.txt	without	RID49854	RID49854		without/6135								
11175472.txt	medium	RID5775	RID5775		medium/6152								
11175472.txt	injection	RID28842	RID28842		injection/6159								
11175472.txt	second	RID5998	RID5998		second/6193								
11175472.txt	contiguous	RID39044	RID39044		contiguous/6206								
11175472.txt	thickness sections	RID12398	RID12398		thickness/6382, sections/6399								
11175472.txt	total	RID5689	RID5689		total/6448								
11175472.txt	procedure	RID1559	RID1559		procedure/6470								
11175472.txt	10	RID6014	RID6014		10/6484								
11175472.txt	calcification	RID5196	RID5196		calcification/6516								
11175472.txt	contiguous	RID39044	RID39044		contiguous/6554								
11175472.txt	first	RID5996	RID5996		first/6593								
11175472.txt	first	RID5996	RID5996		first/6625								
11175472.txt	trunk	RID2467	RID2467		trunk/6654								
11175472.txt	anterior descending	RID490	RID490		anterior/6670, descending/6679								
11175472.txt	artery left coronary artery	RID486	RID486		artery/6690, left/6704, coronary/6709, artery/6718								
11175472.txt	cm	RID11952	RID11952		cm/6743								
11175472.txt	coronary arteries	RID35862	RID35862		coronary/6762, arteries/6771								
11175472.txt	coronary arteries	RID28727	RID28727		coronary/6762, arteries/6771								
11175472.txt	longitudinal	RID5855	RID5855		longitudinal/6796								
11175472.txt	axis	RID7747	RID7747		axis/6809								
11175472.txt	patient	RID49815	RID49815		patient/6821								
11175472.txt	extension	RID10427	RID10427		extension/6847								
11175472.txt	coronary calcification	RID50146	RID50146		coronary/6860, calcification/6869								
11175472.txt	contiguous	RID39044	RID39044		contiguous/6910								
11175472.txt	calcified	RID5747	RID5747		calcified/6933								
11175472.txt	lesion	RID3874	RID3874		lesion/6943								
11175472.txt	lesion	RID34301	RID34301		lesion/6943								
11175472.txt	lesion	RID38780	RID38780		lesion/6943								
11175472.txt	lesion	RID39055	RID39055		lesion/6943								
11175472.txt	coronary artery	RID35862	RID35862		coronary/6984, artery/6993								
11175472.txt	coronary artery	RID28727	RID28727		coronary/6984, artery/6993								
11175472.txt	density	RID3874	RID3874		density/7019								
11175472.txt	Hounsfield units	RID39161	RID39161		Hounsfield/7040, units/7051								
11175472.txt	HU	RID39161	RID39161		HU/7058								
11175472.txt	all	RID5769	RID5769		all/7225								
11175472.txt	lesion	RID3874	RID3874		lesion/7351								
11175472.txt	lesion	RID34301	RID34301		lesion/7351								
11175472.txt	lesion	RID38780	RID38780		lesion/7351								
11175472.txt	lesion	RID39055	RID39055		lesion/7351								
11175472.txt	calculations	RID12780	RID12780		calculations/7370								
11175472.txt	lesion	RID3874	RID3874		lesion/7402								
11175472.txt	lesion	RID34301	RID34301		lesion/7402								
11175472.txt	lesion	RID38780	RID38780		lesion/7402								
11175472.txt	lesion	RID39055	RID39055		lesion/7402								
11175472.txt	density	RID3874	RID3874		density/7426								
11175472.txt	al	RID11786	RID11786		al/7573								
11175472.txt	minimum	RID39163	RID39163		minimum/7586								
11175472.txt	HU	RID39161	RID39161		HU/7610								
11175472.txt	HU	RID39161	RID39161		HU/7700								
11175472.txt	HU	RID39161	RID39161		HU/7725								
11175472.txt	HU	RID39161	RID39161		HU/7750								
11175472.txt	region interest calculated	RID12781	RID12781		region/7791, interest/7801, calculated/7814								
11175472.txt	total	RID5689	RID5689		total/7880								
11175472.txt	calcification	RID5196	RID5196		calcification/7886								
11175472.txt	angiography	RID10371	RID10371		angiography/7975								
11175472.txt	multiple	RID5765	RID5765		multiple/8045								
11175472.txt	oblique projections	RID10528	RID10528		oblique/8054, projections/8062								
11175472.txt	Stenoses	RID5016	RID5016		Stenoses/8075								
11175472.txt	coronary arteries	RID35862	RID35862		coronary/8107, arteries/8116								
11175472.txt	coronary arteries	RID28727	RID28727		coronary/8107, arteries/8116								
11175472.txt	no	RID28475	RID28475		no/8288								
11175472.txt	no	RID28475	RID28475		no/8305								
11175472.txt	lesion	RID3874	RID3874		lesion/8324								
11175472.txt	lesion	RID34301	RID34301		lesion/8324								
11175472.txt	lesion	RID38780	RID38780		lesion/8324								
11175472.txt	lesion	RID39055	RID39055		lesion/8324								
11175472.txt	lesion	RID3874	RID3874		lesion/8383								
11175472.txt	lesion	RID34301	RID34301		lesion/8383								
11175472.txt	lesion	RID38780	RID38780		lesion/8383								
11175472.txt	lesion	RID39055	RID39055		lesion/8383								
11175472.txt	diameter	RID13432	RID13432		diameter/8427								
11175472.txt	major	RID5692	RID5692		major/8459								
11175472.txt	coronary right coronary artery	RID544	RID544		coronary/8465, right/8484, coronary/8490, artery/8499								
11175472.txt	right coronary	RID544	RID544		right/8484, coronary/8490								
11175472.txt	anterior	RID5818	RID5818		anterior/8507								
11175472.txt	descending	RID5955	RID5955		descending/8516								
11175472.txt	stenosis	RID5016	RID5016		stenosis/8592								
11175472.txt	calcification coronary artery coronary	RID50146	RID50146		calcification/8779, coronary/8817, artery/8826, coronary/8887								
11175472.txt	vessels	RID4	RID4		vessels/8867								
11175472.txt	vessels	RID39545	RID39545		vessels/8867								
11175472.txt	angiography	RID10371	RID10371		angiography/8896								
11175472.txt	mean	RID39224	RID39224		mean/8917								
11175472.txt	deviation	RID10445	RID10445		deviation/8934								
11175472.txt	acute	RID5718	RID5718		acute/9136								
11175472.txt	myocardial infarction	RID3236	RID3236		myocardial/9142, infarction/9153								
11175472.txt	patients	RID49815	RID49815		patients/9178								
11175472.txt	unstable	RID39183	RID39183		unstable/9191								
11175472.txt	patients	RID49815	RID49815		patients/9285								
11175472.txt	hypertension	RID39097	RID39097		hypertension/9363								
11175472.txt	atherosclerosis	RID39049	RID39049		atherosclerosis/9450								
11175472.txt	before	RID39331	RID39331		before/9467								
11175472.txt	diabetes	RID39048	RID39048		diabetes/9504								
11175472.txt	patient	RID49815	RID49815		patient/9542								
11175472.txt	surgery	RID1560	RID1560		surgery/9601								
11175472.txt	angioplasty	RID11031	RID11031		angioplasty/9656								
11175472.txt	patients	RID49815	RID49815		patients/9681								
11175472.txt	previous	RID5726	RID5726		previous/9696								
11175472.txt	acute	RID5718	RID5718		acute/9716								
11175472.txt	myocardial infarction	RID3236	RID3236		myocardial/9722, infarction/9733								
11175472.txt	Coronary artery	RID35862	RID35862		Coronary/9745, artery/9754								
11175472.txt	Coronary artery	RID28727	RID28727		Coronary/9745, artery/9754								
11175472.txt	patients	RID49815	RID49815		patients/9811								
11175472.txt	Out patients patients	RID45899	RID45899		Out/9821, patients/9834, patients/9969								
11175472.txt	lesions	RID3874	RID3874		lesions/9883								
11175472.txt	lesions	RID34301	RID34301		lesions/9883								
11175472.txt	lesions	RID38780	RID38780		lesions/9883								
11175472.txt	lesions	RID39055	RID39055		lesions/9883								
11175472.txt	stenosis	RID5016	RID5016		stenosis/9892								
11175472.txt	major	RID5692	RID5692		major/9929								
11175472.txt	coronary arteries	RID35862	RID35862		coronary/9935, arteries/9944								
11175472.txt	coronary arteries	RID28727	RID28727		coronary/9935, arteries/9944								
11175472.txt	stenosis	RID5016	RID5016		stenosis/10006								
11175472.txt	patients	RID49815	RID49815		patients/10032								
11175472.txt	lesions	RID3874	RID3874		lesions/10070								
11175472.txt	lesions	RID34301	RID34301		lesions/10070								
11175472.txt	lesions	RID38780	RID38780		lesions/10070								
11175472.txt	lesions	RID39055	RID39055		lesions/10070								
11175472.txt	stenosis	RID5016	RID5016		stenosis/10091								
11175472.txt	patients	RID49815	RID49815		patients/10124								
11175472.txt	vessels	RID4	RID4		vessels/10145								
11175472.txt	vessels	RID39545	RID39545		vessels/10145								
11175472.txt	patients	RID49815	RID49815		patients/10168								
11175472.txt	anterior	RID5818	RID5818		anterior/10203								
11175472.txt	descending	RID5955	RID5955		descending/10212								
11175472.txt	patients	RID49815	RID49815		patients/10257								
11175472.txt	10	RID6014	RID6014		10/10292								
11175472.txt	patients	RID49815	RID49815		patients/10303								
11175472.txt	right coronary artery	RID544	RID544		right/10321, coronary/10327, artery/10336								
11175472.txt	patients	RID49815	RID49815		patients/10377								
11175472.txt	normal	RID13173	RID13173		normal/10390								
11175472.txt	arteries coronary	RID35862	RID35862		arteries/10406, coronary/10418								
11175472.txt	arteries coronary	RID28727	RID28727		arteries/10406, coronary/10418								
11175472.txt	angiography	RID10371	RID10371		angiography/10427								
11175472.txt	Coronary artery calcification	RID50146	RID50146		Coronary/10440, artery/10449, calcification/10456								
11175472.txt	patients	RID49815	RID49815		patients/10494								
11175472.txt	calcification	RID5196	RID5196		calcification/10580								
11175472.txt	computed tomography	RID10321	RID10321		computed/10605, tomography/10614								
11175472.txt	coronary artery coronary	RID35862	RID35862		coronary/10656, artery/10665, coronary/10683								
11175472.txt	coronary artery coronary	RID28727	RID28727		coronary/10656, artery/10665, coronary/10683								
11175472.txt	angiography	RID10371	RID10371		angiography/10692								
11175472.txt	coronary artery coronary	RID35862	RID35862		coronary/10760, artery/10769, coronary/10787								
11175472.txt	coronary artery coronary	RID28727	RID28727		coronary/10760, artery/10769, coronary/10787								
11175472.txt	angiography	RID10371	RID10371		angiography/10796								
11175472.txt	computed tomography	RID10321	RID10321		computed/10836, tomography/10845								
11175472.txt	out patients out patients	RID45899	RID45899		out/10868, patients/10878, out/10917, patients/10926								
11175472.txt	negative	RID49897	RID49897		negative/10941								
11175472.txt	positive	RID49898	RID49898		positive/10984								
11175472.txt	Out patients	RID45899	RID45899		Out/11020, patients/11034								
11175472.txt	patients positive	RID10420	RID10420		patients/11034, positive/11048								
11175472.txt	angiography	RID10371	RID10371		angiography/11078								
11175472.txt	calcification	RID5196	RID5196		calcification/11109								
11175472.txt	computed tomography	RID10321	RID10321		computed/11134, tomography/11143								
11175472.txt	patients	RID49815	RID49815		patients/11162								
11175472.txt	calcification	RID5196	RID5196		calcification/11188								
11175472.txt	present	RID28472	RID28472		present/11231								
11175472.txt	single	RID5762	RID5762		single/11246								
11175472.txt	vessel	RID4	RID4		vessel/11253								
11175472.txt	all	RID5769	RID5769		all/11264								
11175472.txt	patients	RID49815	RID49815		patients/11268								
11175472.txt	angiography	RID10371	RID10371		angiography/11294								
11175472.txt	absence	RID34780	RID34780		absence/11339								
11175472.txt	lesions	RID3874	RID3874		lesions/11359								
11175472.txt	lesions	RID34301	RID34301		lesions/11359								
11175472.txt	lesions	RID38780	RID38780		lesions/11359								
11175472.txt	lesions	RID39055	RID39055		lesions/11359								
11175472.txt	computed tomography	RID10321	RID10321		computed/11376, tomography/11385								
11175472.txt	no	RID28475	RID28475		no/11410								
11175472.txt	calcification	RID5196	RID5196		calcification/11413								
11175472.txt	patients out patients	RID45899	RID45899		patients/11474, out/11547, patients/11557								
11175472.txt	negative	RID49897	RID49897		negative/11576								
11175472.txt	positive	RID49898	RID49898		positive/11627								
11175472.txt	Out patients patients patients	RID45899	RID45899		Out/11668, patients/11682, patients/11818, patients/11867								
11175472.txt	patients positive	RID10420	RID10420		patients/11682, positive/11696								
11175472.txt	computed tomography	RID10321	RID10321		computed/11725, tomography/11734								
11175472.txt	calcification	RID5196	RID5196		calcification/11761								
11175472.txt	anterior	RID5818	RID5818		anterior/11782								
11175472.txt	descending	RID5955	RID5955		descending/11791								
11175472.txt	artery artery right coronary artery	RID544	RID544		artery/11802, artery/11845, right/11883, coronary/11889, artery/11898								
11175472.txt	calcification	RID5196	RID5196		calcification/11932								
11175472.txt	computed tomography	RID10321	RID10321		computed/11957, tomography/11966								
11175472.txt	anterior	RID5818	RID5818		anterior/11984								
11175472.txt	descending	RID5955	RID5955		descending/11993								
11175472.txt	artery circumflex artery coronary artery	RID510	RID510		artery/12004, circumflex/12019, artery/12030, coronary/12055, artery/12064								
11175472.txt	right coronary artery	RID544	RID544		right/12049, coronary/12055, artery/12064								
11175472.txt	mean	RID39224	RID39224		mean/12182								
11175472.txt	artery calcification coronary	RID50146	RID50146		artery/12203, calcification/12210, coronary/12235								
11175472.txt	indices	RID49442	RID49442		indices/12224								
11175472.txt	angiography	RID10371	RID10371		angiography/12244								
11175472.txt	patients	RID49815	RID49815		patients/12259								
11175472.txt	without	RID49854	RID49854		without/12268								
11175472.txt	lesions	RID3874	RID3874		lesions/12292								
11175472.txt	lesions	RID34301	RID34301		lesions/12292								
11175472.txt	lesions	RID38780	RID38780		lesions/12292								
11175472.txt	lesions	RID39055	RID39055		lesions/12292								
11175472.txt	patients	RID49815	RID49815		patients/12304								
11175472.txt	patients	RID49815	RID49815		patients/12349								
11175472.txt	mean	RID39224	RID39224		mean/12419								
11175472.txt	calcification	RID5196	RID5196		calcification/12431								
11175472.txt	indices	RID49442	RID49442		indices/12445								
11175472.txt	coronary arteries coronary	RID35862	RID35862		coronary/12482, arteries/12491, coronary/12512								
11175472.txt	coronary arteries coronary	RID28727	RID28727		coronary/12482, arteries/12491, coronary/12512								
11175472.txt	angiography	RID10371	RID10371		angiography/12521								
11175472.txt	coronary artery coronary	RID35862	RID35862		coronary/12548, artery/12557, coronary/12584								
11175472.txt	coronary artery coronary	RID28727	RID28727		coronary/12548, artery/12557, coronary/12584								
11175472.txt	lesion	RID3874	RID3874		lesion/12570								
11175472.txt	lesion	RID34301	RID34301		lesion/12570								
11175472.txt	lesion	RID38780	RID38780		lesion/12570								
11175472.txt	lesion	RID39055	RID39055		lesion/12570								
11175472.txt	normal	RID13173	RID13173		normal/12607								
11175472.txt	mean	RID39224	RID39224		mean/12619								
11175472.txt	calcification	RID5196	RID5196		calcification/12627								
11175472.txt	vessels	RID4	RID4		vessels/12673								
11175472.txt	vessels	RID39545	RID39545		vessels/12673								
11175472.txt	mean	RID39224	RID39224		mean/12700								
11175472.txt	calcification	RID5196	RID5196		calcification/12708								
11175472.txt	Calcification coronary arteries	RID50146	RID50146		Calcification/12810, coronary/12827, arteries/12836								
11175472.txt	computed tomography	RID10321	RID10321		computed/12946, tomography/12955								
11175472.txt	computed tomography	RID10321	RID10321		computed/13052, tomography/13061								
11175472.txt	coronary artery	RID35862	RID35862		coronary/13103, artery/13112								
11175472.txt	coronary artery	RID28727	RID28727		coronary/13103, artery/13112								
11175472.txt	review	RID45932	RID45932		review/13235								
11175472.txt	several	RID5763	RID5763		several/13245								
11175472.txt	computed tomography	RID10321	RID10321		computed/13294, tomography/13303								
11175472.txt	coronary artery	RID35862	RID35862		coronary/13413, artery/13422								
11175472.txt	coronary artery	RID28727	RID28727		coronary/13413, artery/13422								
11175472.txt	increases	RID5732	RID5732		increases/13502								
11175472.txt	increases	RID36043	RID36043		increases/13502								
11175472.txt	decreases	RID5733	RID5733		decreases/13560								
11175472.txt	decreases	RID36044	RID36044		decreases/13560								
11175472.txt	amount	RID5761	RID5761		amount/13578								
11175472.txt	calcium	RID11800	RID11800		calcium/13588								
11175472.txt	coronary artery	RID35862	RID35862		coronary/13614, artery/13623								
11175472.txt	coronary artery	RID28727	RID28727		coronary/13614, artery/13623								
11175472.txt	lesions	RID3874	RID3874		lesions/13630								
11175472.txt	lesions	RID34301	RID34301		lesions/13630								
11175472.txt	lesions	RID38780	RID38780		lesions/13630								
11175472.txt	lesions	RID39055	RID39055		lesions/13630								
11175472.txt	calcification	RID5196	RID5196		calcification/13661								
